cluster_label	neurotransmitter_label
CS20230722_CLUS_0067	CS20230722_NEUR_Glut
CS20230722_CLUS_0068	CS20230722_NEUR_Glut
CS20230722_CLUS_0069	CS20230722_NEUR_Glut
CS20230722_CLUS_0070	CS20230722_NEUR_Glut
CS20230722_CLUS_0071	CS20230722_NEUR_Glut
CS20230722_CLUS_0072	CS20230722_NEUR_Glut
CS20230722_CLUS_0073	CS20230722_NEUR_Glut
CS20230722_CLUS_0074	CS20230722_NEUR_Glut
CS20230722_CLUS_0075	CS20230722_NEUR_Glut
CS20230722_CLUS_0076	CS20230722_NEUR_Glut
CS20230722_CLUS_0077	CS20230722_NEUR_Glut
CS20230722_CLUS_0078	CS20230722_NEUR_Glut
CS20230722_CLUS_0079	CS20230722_NEUR_Glut
CS20230722_CLUS_0080	CS20230722_NEUR_Glut
CS20230722_CLUS_0081	CS20230722_NEUR_Glut
CS20230722_CLUS_0082	CS20230722_NEUR_Glut
CS20230722_CLUS_0083	CS20230722_NEUR_Glut
CS20230722_CLUS_0084	CS20230722_NEUR_Glut
CS20230722_CLUS_0085	CS20230722_NEUR_Glut
CS20230722_CLUS_0086	CS20230722_NEUR_Glut
CS20230722_CLUS_0087	CS20230722_NEUR_Glut
CS20230722_CLUS_0088	CS20230722_NEUR_Glut
CS20230722_CLUS_0089	CS20230722_NEUR_Glut
CS20230722_CLUS_0090	CS20230722_NEUR_Glut
CS20230722_CLUS_0091	CS20230722_NEUR_Glut
CS20230722_CLUS_0092	CS20230722_NEUR_Glut
CS20230722_CLUS_0093	CS20230722_NEUR_Glut
CS20230722_CLUS_0094	CS20230722_NEUR_Glut
CS20230722_CLUS_0095	CS20230722_NEUR_Glut
CS20230722_CLUS_0096	CS20230722_NEUR_Glut
CS20230722_CLUS_0097	CS20230722_NEUR_Glut
CS20230722_CLUS_0098	CS20230722_NEUR_Glut
CS20230722_CLUS_0099	CS20230722_NEUR_Glut
CS20230722_CLUS_0100	CS20230722_NEUR_Glut
CS20230722_CLUS_0101	CS20230722_NEUR_Glut
CS20230722_CLUS_0102	CS20230722_NEUR_Glut
CS20230722_CLUS_0103	CS20230722_NEUR_Glut
CS20230722_CLUS_0104	CS20230722_NEUR_Glut
CS20230722_CLUS_0105	CS20230722_NEUR_Glut
CS20230722_CLUS_0106	CS20230722_NEUR_Glut
CS20230722_CLUS_0107	CS20230722_NEUR_Glut
CS20230722_CLUS_0108	CS20230722_NEUR_Glut
CS20230722_CLUS_0109	CS20230722_NEUR_Glut
CS20230722_CLUS_0110	CS20230722_NEUR_Glut
CS20230722_CLUS_0111	CS20230722_NEUR_Glut
CS20230722_CLUS_0112	CS20230722_NEUR_Glut
CS20230722_CLUS_0113	CS20230722_NEUR_Glut
CS20230722_CLUS_0114	CS20230722_NEUR_Glut
CS20230722_CLUS_0115	CS20230722_NEUR_Glut
CS20230722_CLUS_0116	CS20230722_NEUR_Glut
CS20230722_CLUS_0117	CS20230722_NEUR_Glut
CS20230722_CLUS_0118	CS20230722_NEUR_Glut
CS20230722_CLUS_0119	CS20230722_NEUR_Glut
CS20230722_CLUS_0120	CS20230722_NEUR_Glut
CS20230722_CLUS_0121	CS20230722_NEUR_Glut
CS20230722_CLUS_0122	CS20230722_NEUR_Glut
CS20230722_CLUS_0123	CS20230722_NEUR_Glut
CS20230722_CLUS_0124	CS20230722_NEUR_Glut
CS20230722_CLUS_0125	CS20230722_NEUR_Glut
CS20230722_CLUS_0126	CS20230722_NEUR_Glut
CS20230722_CLUS_0127	CS20230722_NEUR_Glut
CS20230722_CLUS_0128	CS20230722_NEUR_Glut
CS20230722_CLUS_0129	CS20230722_NEUR_Glut
CS20230722_CLUS_0130	CS20230722_NEUR_Glut
CS20230722_CLUS_0131	CS20230722_NEUR_Glut
CS20230722_CLUS_0132	CS20230722_NEUR_Glut
CS20230722_CLUS_0133	CS20230722_NEUR_Glut
CS20230722_CLUS_0134	CS20230722_NEUR_Glut
CS20230722_CLUS_0135	CS20230722_NEUR_Glut
CS20230722_CLUS_0136	CS20230722_NEUR_Glut
CS20230722_CLUS_0137	CS20230722_NEUR_Glut
CS20230722_CLUS_0138	CS20230722_NEUR_Glut
CS20230722_CLUS_0139	CS20230722_NEUR_Glut
CS20230722_CLUS_0140	CS20230722_NEUR_Glut
CS20230722_CLUS_0141	CS20230722_NEUR_Glut
CS20230722_CLUS_0142	CS20230722_NEUR_Glut
CS20230722_CLUS_0143	CS20230722_NEUR_Glut
CS20230722_CLUS_0144	CS20230722_NEUR_Glut
CS20230722_CLUS_0145	CS20230722_NEUR_Glut
CS20230722_CLUS_0146	CS20230722_NEUR_Glut
CS20230722_CLUS_0147	CS20230722_NEUR_Glut
CS20230722_CLUS_0148	CS20230722_NEUR_Glut
CS20230722_CLUS_0149	CS20230722_NEUR_Glut
CS20230722_CLUS_0150	CS20230722_NEUR_Glut
CS20230722_CLUS_0151	CS20230722_NEUR_Glut
CS20230722_CLUS_0152	CS20230722_NEUR_Glut
CS20230722_CLUS_0153	CS20230722_NEUR_Glut
CS20230722_CLUS_0154	CS20230722_NEUR_Glut
CS20230722_CLUS_0155	CS20230722_NEUR_Glut
CS20230722_CLUS_0156	CS20230722_NEUR_Glut
CS20230722_CLUS_0157	CS20230722_NEUR_Glut
CS20230722_CLUS_0158	CS20230722_NEUR_Glut
CS20230722_CLUS_0159	CS20230722_NEUR_Glut
CS20230722_CLUS_0160	CS20230722_NEUR_Glut
CS20230722_CLUS_0161	CS20230722_NEUR_Glut
CS20230722_CLUS_0162	CS20230722_NEUR_Glut
CS20230722_CLUS_0163	CS20230722_NEUR_Glut
CS20230722_CLUS_0164	CS20230722_NEUR_Glut
CS20230722_CLUS_0165	CS20230722_NEUR_Glut
CS20230722_CLUS_0166	CS20230722_NEUR_Glut
CS20230722_CLUS_0167	CS20230722_NEUR_Glut
CS20230722_CLUS_0168	CS20230722_NEUR_Glut
CS20230722_CLUS_0169	CS20230722_NEUR_Glut
CS20230722_CLUS_0170	CS20230722_NEUR_Glut
CS20230722_CLUS_0171	CS20230722_NEUR_Glut
CS20230722_CLUS_0172	CS20230722_NEUR_Glut
CS20230722_CLUS_0173	CS20230722_NEUR_Glut
CS20230722_CLUS_0174	CS20230722_NEUR_Glut
CS20230722_CLUS_0175	CS20230722_NEUR_Glut
CS20230722_CLUS_0176	CS20230722_NEUR_Glut
CS20230722_CLUS_0177	CS20230722_NEUR_Glut
CS20230722_CLUS_0178	CS20230722_NEUR_Glut
CS20230722_CLUS_0179	CS20230722_NEUR_Glut
CS20230722_CLUS_0180	CS20230722_NEUR_Glut
CS20230722_CLUS_0181	CS20230722_NEUR_Glut
CS20230722_CLUS_0182	CS20230722_NEUR_Glut
CS20230722_CLUS_0183	CS20230722_NEUR_Glut
CS20230722_CLUS_0184	CS20230722_NEUR_Glut
CS20230722_CLUS_0185	CS20230722_NEUR_Glut
CS20230722_CLUS_0186	CS20230722_NEUR_Glut
CS20230722_CLUS_0187	CS20230722_NEUR_Glut
CS20230722_CLUS_0188	CS20230722_NEUR_Glut
CS20230722_CLUS_0189	CS20230722_NEUR_Glut
CS20230722_CLUS_0190	CS20230722_NEUR_Glut
CS20230722_CLUS_0191	CS20230722_NEUR_Glut
CS20230722_CLUS_0192	CS20230722_NEUR_Glut
CS20230722_CLUS_0193	CS20230722_NEUR_Glut
CS20230722_CLUS_0194	CS20230722_NEUR_Glut
CS20230722_CLUS_0195	CS20230722_NEUR_Glut
CS20230722_CLUS_0196	CS20230722_NEUR_Glut
CS20230722_CLUS_0197	CS20230722_NEUR_Glut
CS20230722_CLUS_0198	CS20230722_NEUR_Glut
CS20230722_CLUS_0199	CS20230722_NEUR_Glut
CS20230722_CLUS_0200	CS20230722_NEUR_Glut
CS20230722_CLUS_0201	CS20230722_NEUR_Glut
CS20230722_CLUS_0202	CS20230722_NEUR_Glut
CS20230722_CLUS_0203	CS20230722_NEUR_Glut
CS20230722_CLUS_0204	CS20230722_NEUR_Glut
CS20230722_CLUS_0205	CS20230722_NEUR_Glut
CS20230722_CLUS_0206	CS20230722_NEUR_Glut
CS20230722_CLUS_0207	CS20230722_NEUR_Glut
CS20230722_CLUS_0208	CS20230722_NEUR_Glut
CS20230722_CLUS_0209	CS20230722_NEUR_Glut
CS20230722_CLUS_0210	CS20230722_NEUR_Glut
CS20230722_CLUS_0211	CS20230722_NEUR_Glut
CS20230722_CLUS_0212	CS20230722_NEUR_Glut
CS20230722_CLUS_0213	CS20230722_NEUR_Glut
CS20230722_CLUS_0214	CS20230722_NEUR_Glut
CS20230722_CLUS_0215	CS20230722_NEUR_Glut
CS20230722_CLUS_0216	CS20230722_NEUR_Glut
CS20230722_CLUS_0217	CS20230722_NEUR_Glut
CS20230722_CLUS_0218	CS20230722_NEUR_Glut
CS20230722_CLUS_0219	CS20230722_NEUR_Glut
CS20230722_CLUS_0220	CS20230722_NEUR_Glut
CS20230722_CLUS_0221	CS20230722_NEUR_Glut
CS20230722_CLUS_0222	CS20230722_NEUR_Glut
CS20230722_CLUS_0223	CS20230722_NEUR_Glut
CS20230722_CLUS_0224	CS20230722_NEUR_Glut
CS20230722_CLUS_0225	CS20230722_NEUR_Glut
CS20230722_CLUS_0226	CS20230722_NEUR_Glut
CS20230722_CLUS_0227	CS20230722_NEUR_Glut
CS20230722_CLUS_0228	CS20230722_NEUR_Glut
CS20230722_CLUS_0229	CS20230722_NEUR_Glut
CS20230722_CLUS_0230	CS20230722_NEUR_Glut
CS20230722_CLUS_0231	CS20230722_NEUR_Glut
CS20230722_CLUS_0232	CS20230722_NEUR_Glut
CS20230722_CLUS_0233	CS20230722_NEUR_Glut
CS20230722_CLUS_0234	CS20230722_NEUR_Glut
CS20230722_CLUS_0235	CS20230722_NEUR_Glut
CS20230722_CLUS_0236	CS20230722_NEUR_Glut
CS20230722_CLUS_0237	CS20230722_NEUR_Glut
CS20230722_CLUS_0238	CS20230722_NEUR_Glut
CS20230722_CLUS_0239	CS20230722_NEUR_Glut
CS20230722_CLUS_0240	CS20230722_NEUR_Glut
CS20230722_CLUS_0241	CS20230722_NEUR_Glut
CS20230722_CLUS_0242	CS20230722_NEUR_Glut
CS20230722_CLUS_0243	CS20230722_NEUR_Glut
CS20230722_CLUS_0244	CS20230722_NEUR_Glut
CS20230722_CLUS_0245	CS20230722_NEUR_Glut
CS20230722_CLUS_0246	CS20230722_NEUR_Glut
CS20230722_CLUS_0247	CS20230722_NEUR_Glut
CS20230722_CLUS_0248	CS20230722_NEUR_Glut
CS20230722_CLUS_0249	CS20230722_NEUR_Glut
CS20230722_CLUS_0250	CS20230722_NEUR_Glut
CS20230722_CLUS_0251	CS20230722_NEUR_Glut
CS20230722_CLUS_0252	CS20230722_NEUR_Glut
CS20230722_CLUS_0253	CS20230722_NEUR_Glut
CS20230722_CLUS_0254	CS20230722_NEUR_Glut
CS20230722_CLUS_0255	CS20230722_NEUR_Glut
CS20230722_CLUS_0256	CS20230722_NEUR_Glut
CS20230722_CLUS_0257	CS20230722_NEUR_Glut
CS20230722_CLUS_0258	CS20230722_NEUR_Glut
CS20230722_CLUS_0259	CS20230722_NEUR_Glut
CS20230722_CLUS_0260	CS20230722_NEUR_Glut
CS20230722_CLUS_0261	CS20230722_NEUR_Glut
CS20230722_CLUS_0262	CS20230722_NEUR_Glut
CS20230722_CLUS_0263	CS20230722_NEUR_Glut
CS20230722_CLUS_0264	CS20230722_NEUR_Glut
CS20230722_CLUS_0265	CS20230722_NEUR_Glut
CS20230722_CLUS_0266	CS20230722_NEUR_Glut
CS20230722_CLUS_0267	CS20230722_NEUR_Glut
CS20230722_CLUS_0268	CS20230722_NEUR_Glut
CS20230722_CLUS_0269	CS20230722_NEUR_Glut
CS20230722_CLUS_0270	CS20230722_NEUR_Glut
CS20230722_CLUS_0271	CS20230722_NEUR_Glut
CS20230722_CLUS_0272	CS20230722_NEUR_Glut
CS20230722_CLUS_0273	CS20230722_NEUR_Glut
CS20230722_CLUS_0274	CS20230722_NEUR_Glut
CS20230722_CLUS_0275	CS20230722_NEUR_Glut
CS20230722_CLUS_0276	CS20230722_NEUR_Glut
CS20230722_CLUS_0277	CS20230722_NEUR_Glut
CS20230722_CLUS_0278	CS20230722_NEUR_Glut
CS20230722_CLUS_0279	CS20230722_NEUR_Glut
CS20230722_CLUS_0280	CS20230722_NEUR_Glut
CS20230722_CLUS_0281	CS20230722_NEUR_Glut
CS20230722_CLUS_0282	CS20230722_NEUR_Glut
CS20230722_CLUS_0283	CS20230722_NEUR_Glut
CS20230722_CLUS_0284	CS20230722_NEUR_Glut
CS20230722_CLUS_0285	CS20230722_NEUR_Glut
CS20230722_CLUS_0286	CS20230722_NEUR_Glut
CS20230722_CLUS_0287	CS20230722_NEUR_Glut
CS20230722_CLUS_0288	CS20230722_NEUR_Glut
CS20230722_CLUS_0289	CS20230722_NEUR_Glut
CS20230722_CLUS_0290	CS20230722_NEUR_Glut
CS20230722_CLUS_0291	CS20230722_NEUR_Glut
CS20230722_CLUS_0292	CS20230722_NEUR_Glut
CS20230722_CLUS_0293	CS20230722_NEUR_Glut
CS20230722_CLUS_0294	CS20230722_NEUR_Glut
CS20230722_CLUS_0295	CS20230722_NEUR_Glut
CS20230722_CLUS_0296	CS20230722_NEUR_Glut
CS20230722_CLUS_0297	CS20230722_NEUR_Glut
CS20230722_CLUS_0298	CS20230722_NEUR_Glut
CS20230722_CLUS_0299	CS20230722_NEUR_Glut
CS20230722_CLUS_0300	CS20230722_NEUR_Glut
CS20230722_CLUS_0301	CS20230722_NEUR_Glut
CS20230722_CLUS_0302	CS20230722_NEUR_Glut
CS20230722_CLUS_0303	CS20230722_NEUR_Glut
CS20230722_CLUS_0304	CS20230722_NEUR_Glut
CS20230722_CLUS_0305	CS20230722_NEUR_Glut
CS20230722_CLUS_0306	CS20230722_NEUR_Glut
CS20230722_CLUS_0307	CS20230722_NEUR_Glut
CS20230722_CLUS_0308	CS20230722_NEUR_Glut
CS20230722_CLUS_0309	CS20230722_NEUR_Glut
CS20230722_CLUS_0310	CS20230722_NEUR_Glut
CS20230722_CLUS_0311	CS20230722_NEUR_Glut
CS20230722_CLUS_0312	CS20230722_NEUR_Glut
CS20230722_CLUS_0313	CS20230722_NEUR_Glut
CS20230722_CLUS_0314	CS20230722_NEUR_Glut
CS20230722_CLUS_0315	CS20230722_NEUR_Glut
CS20230722_CLUS_0316	CS20230722_NEUR_Glut
CS20230722_CLUS_0317	CS20230722_NEUR_Glut
CS20230722_CLUS_0318	CS20230722_NEUR_Glut
CS20230722_CLUS_0319	CS20230722_NEUR_Glut
CS20230722_CLUS_0320	CS20230722_NEUR_Glut
CS20230722_CLUS_0321	CS20230722_NEUR_Glut
CS20230722_CLUS_0322	CS20230722_NEUR_Glut
CS20230722_CLUS_0323	CS20230722_NEUR_Glut
CS20230722_CLUS_0324	CS20230722_NEUR_Glut
CS20230722_CLUS_0325	CS20230722_NEUR_Glut
CS20230722_CLUS_0326	CS20230722_NEUR_Glut
CS20230722_CLUS_0327	CS20230722_NEUR_Glut
CS20230722_CLUS_0328	CS20230722_NEUR_Glut
CS20230722_CLUS_0329	CS20230722_NEUR_Glut
CS20230722_CLUS_0330	CS20230722_NEUR_Glut
CS20230722_CLUS_0331	CS20230722_NEUR_Glut
CS20230722_CLUS_0332	CS20230722_NEUR_Glut
CS20230722_CLUS_0333	CS20230722_NEUR_Glut
CS20230722_CLUS_0334	CS20230722_NEUR_Glut
CS20230722_CLUS_0335	CS20230722_NEUR_Glut
CS20230722_CLUS_0336	CS20230722_NEUR_Glut
CS20230722_CLUS_0337	CS20230722_NEUR_Glut
CS20230722_CLUS_0338	CS20230722_NEUR_Glut
CS20230722_CLUS_0339	CS20230722_NEUR_Glut
CS20230722_CLUS_0340	CS20230722_NEUR_Glut
CS20230722_CLUS_0341	CS20230722_NEUR_Glut
CS20230722_CLUS_0342	CS20230722_NEUR_Glut
CS20230722_CLUS_0343	CS20230722_NEUR_Glut
CS20230722_CLUS_0344	CS20230722_NEUR_Glut
CS20230722_CLUS_0345	CS20230722_NEUR_Glut
CS20230722_CLUS_0346	CS20230722_NEUR_Glut
CS20230722_CLUS_0347	CS20230722_NEUR_Glut
CS20230722_CLUS_0348	CS20230722_NEUR_Glut
CS20230722_CLUS_0349	CS20230722_NEUR_Glut
CS20230722_CLUS_0350	CS20230722_NEUR_Glut
CS20230722_CLUS_0351	CS20230722_NEUR_Glut
CS20230722_CLUS_0352	CS20230722_NEUR_Glut
CS20230722_CLUS_0353	CS20230722_NEUR_Glut
CS20230722_CLUS_0354	CS20230722_NEUR_Glut
CS20230722_CLUS_0355	CS20230722_NEUR_Glut
CS20230722_CLUS_0356	CS20230722_NEUR_Glut
CS20230722_CLUS_0357	CS20230722_NEUR_Glut
CS20230722_CLUS_0358	CS20230722_NEUR_Glut
CS20230722_CLUS_0359	CS20230722_NEUR_Glut
CS20230722_CLUS_0360	CS20230722_NEUR_Glut
CS20230722_CLUS_0361	CS20230722_NEUR_Glut
CS20230722_CLUS_0362	CS20230722_NEUR_Glut
CS20230722_CLUS_0363	CS20230722_NEUR_Glut
CS20230722_CLUS_0364	CS20230722_NEUR_Glut
CS20230722_CLUS_0365	CS20230722_NEUR_Glut
CS20230722_CLUS_0366	CS20230722_NEUR_Glut
CS20230722_CLUS_0367	CS20230722_NEUR_Glut
CS20230722_CLUS_0368	CS20230722_NEUR_Glut
CS20230722_CLUS_0369	CS20230722_NEUR_Glut
CS20230722_CLUS_0370	CS20230722_NEUR_Glut
CS20230722_CLUS_0371	CS20230722_NEUR_Glut
CS20230722_CLUS_0372	CS20230722_NEUR_Glut
CS20230722_CLUS_0373	CS20230722_NEUR_Glut
CS20230722_CLUS_0374	CS20230722_NEUR_Glut
CS20230722_CLUS_0375	CS20230722_NEUR_Glut
CS20230722_CLUS_0376	CS20230722_NEUR_Glut
CS20230722_CLUS_0377	CS20230722_NEUR_Glut
CS20230722_CLUS_0378	CS20230722_NEUR_Glut
CS20230722_CLUS_0379	CS20230722_NEUR_Glut
CS20230722_CLUS_0380	CS20230722_NEUR_Glut
CS20230722_CLUS_0381	CS20230722_NEUR_Glut
CS20230722_CLUS_0382	CS20230722_NEUR_Glut
CS20230722_CLUS_0383	CS20230722_NEUR_Glut
CS20230722_CLUS_0384	CS20230722_NEUR_Glut
CS20230722_CLUS_0385	CS20230722_NEUR_Glut
CS20230722_CLUS_0386	CS20230722_NEUR_Glut
CS20230722_CLUS_0387	CS20230722_NEUR_Glut
CS20230722_CLUS_0388	CS20230722_NEUR_Glut
CS20230722_CLUS_0389	CS20230722_NEUR_Glut
CS20230722_CLUS_0390	CS20230722_NEUR_Glut
CS20230722_CLUS_0391	CS20230722_NEUR_Glut
CS20230722_CLUS_0392	CS20230722_NEUR_Glut
CS20230722_CLUS_0393	CS20230722_NEUR_Glut
CS20230722_CLUS_0394	CS20230722_NEUR_Glut
CS20230722_CLUS_0395	CS20230722_NEUR_Glut
CS20230722_CLUS_0396	CS20230722_NEUR_Glut
CS20230722_CLUS_0397	CS20230722_NEUR_Glut
CS20230722_CLUS_0398	CS20230722_NEUR_Glut
CS20230722_CLUS_0399	CS20230722_NEUR_Glut
CS20230722_CLUS_0400	CS20230722_NEUR_Glut
CS20230722_CLUS_0401	CS20230722_NEUR_Glut
CS20230722_CLUS_0402	CS20230722_NEUR_Glut
CS20230722_CLUS_0403	CS20230722_NEUR_Glut
CS20230722_CLUS_0404	CS20230722_NEUR_Glut
CS20230722_CLUS_0405	CS20230722_NEUR_Glut
CS20230722_CLUS_0406	CS20230722_NEUR_Glut
CS20230722_CLUS_0407	CS20230722_NEUR_Glut
CS20230722_CLUS_0408	CS20230722_NEUR_Glut
CS20230722_CLUS_0409	CS20230722_NEUR_Glut
CS20230722_CLUS_0410	CS20230722_NEUR_Glut
CS20230722_CLUS_0411	CS20230722_NEUR_Glut
CS20230722_CLUS_0412	CS20230722_NEUR_Glut
CS20230722_CLUS_0413	CS20230722_NEUR_Glut
CS20230722_CLUS_0414	CS20230722_NEUR_Glut
CS20230722_CLUS_0415	CS20230722_NEUR_Glut
CS20230722_CLUS_0416	CS20230722_NEUR_Glut
CS20230722_CLUS_0417	CS20230722_NEUR_Glut
CS20230722_CLUS_0418	CS20230722_NEUR_Glut
CS20230722_CLUS_0419	CS20230722_NEUR_Glut
CS20230722_CLUS_0420	CS20230722_NEUR_Glut
CS20230722_CLUS_0421	CS20230722_NEUR_Glut
CS20230722_CLUS_0422	CS20230722_NEUR_Glut
CS20230722_CLUS_0423	CS20230722_NEUR_Glut
CS20230722_CLUS_0424	CS20230722_NEUR_Glut
CS20230722_CLUS_0425	CS20230722_NEUR_Glut
CS20230722_CLUS_0426	CS20230722_NEUR_Glut
CS20230722_CLUS_0427	CS20230722_NEUR_Glut
CS20230722_CLUS_0428	CS20230722_NEUR_Glut
CS20230722_CLUS_0429	CS20230722_NEUR_Glut
CS20230722_CLUS_0430	CS20230722_NEUR_Glut
CS20230722_CLUS_0431	CS20230722_NEUR_Glut
CS20230722_CLUS_0432	CS20230722_NEUR_Glut
CS20230722_CLUS_0433	CS20230722_NEUR_Glut
CS20230722_CLUS_0434	CS20230722_NEUR_Glut
CS20230722_CLUS_0435	CS20230722_NEUR_Glut
CS20230722_CLUS_0436	CS20230722_NEUR_Glut
CS20230722_CLUS_0437	CS20230722_NEUR_Glut
CS20230722_CLUS_0438	CS20230722_NEUR_Glut
CS20230722_CLUS_0439	CS20230722_NEUR_Glut
CS20230722_CLUS_0440	CS20230722_NEUR_Glut
CS20230722_CLUS_0441	CS20230722_NEUR_Glut
CS20230722_CLUS_0442	CS20230722_NEUR_Glut
CS20230722_CLUS_0443	CS20230722_NEUR_Glut
CS20230722_CLUS_0444	CS20230722_NEUR_Glut
CS20230722_CLUS_0445	CS20230722_NEUR_Glut
CS20230722_CLUS_0446	CS20230722_NEUR_Glut
CS20230722_CLUS_0447	CS20230722_NEUR_Glut
CS20230722_CLUS_0448	CS20230722_NEUR_Glut
CS20230722_CLUS_0449	CS20230722_NEUR_Glut
CS20230722_CLUS_0450	CS20230722_NEUR_Glut
CS20230722_CLUS_0451	CS20230722_NEUR_Glut
CS20230722_CLUS_0452	CS20230722_NEUR_Glut
CS20230722_CLUS_0453	CS20230722_NEUR_Glut
CS20230722_CLUS_0454	CS20230722_NEUR_Glut
CS20230722_CLUS_0455	CS20230722_NEUR_Glut
CS20230722_CLUS_0456	CS20230722_NEUR_Glut
CS20230722_CLUS_0457	CS20230722_NEUR_Glut
CS20230722_CLUS_0458	CS20230722_NEUR_Glut
CS20230722_CLUS_0459	CS20230722_NEUR_Glut
CS20230722_CLUS_0460	CS20230722_NEUR_Glut
CS20230722_CLUS_0461	CS20230722_NEUR_Glut
CS20230722_CLUS_0462	CS20230722_NEUR_Glut
CS20230722_CLUS_0463	CS20230722_NEUR_Glut
CS20230722_CLUS_0464	CS20230722_NEUR_Glut
CS20230722_CLUS_0465	CS20230722_NEUR_Glut
CS20230722_CLUS_0466	CS20230722_NEUR_Glut
CS20230722_CLUS_0467	CS20230722_NEUR_Glut
CS20230722_CLUS_0468	CS20230722_NEUR_Glut
CS20230722_CLUS_0469	CS20230722_NEUR_Glut
CS20230722_CLUS_0470	CS20230722_NEUR_Glut
CS20230722_CLUS_0471	CS20230722_NEUR_Glut
CS20230722_CLUS_0472	CS20230722_NEUR_Glut
CS20230722_CLUS_0473	CS20230722_NEUR_Glut
CS20230722_CLUS_0474	CS20230722_NEUR_Glut
CS20230722_CLUS_0475	CS20230722_NEUR_Glut
CS20230722_CLUS_0476	CS20230722_NEUR_Glut
CS20230722_CLUS_0477	CS20230722_NEUR_Glut
CS20230722_CLUS_0478	CS20230722_NEUR_Glut
CS20230722_CLUS_0479	CS20230722_NEUR_Glut
CS20230722_CLUS_0480	CS20230722_NEUR_Glut
CS20230722_CLUS_0481	CS20230722_NEUR_Glut
