ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
PCL_INDV:CS202211210_10	MouseBrain 00010 - CS202211210_10	10 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_10		10 IT EP-CLA Glut		MouseBrain 00010			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110010			
PCL_INDV:CS202211210_11	MouseBrain 00011 - CS202211210_11	11 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_11		11 IT EP-CLA Glut		MouseBrain 00011			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110011			
PCL_INDV:CS202211210_12	MouseBrain 00012 - CS202211210_12	12 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_12		12 IT EP-CLA Glut		MouseBrain 00012			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110012			
PCL_INDV:CS202211210_13	MouseBrain 00013 - CS202211210_13	13 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_13		13 IT EP-CLA Glut		MouseBrain 00013			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110013			
PCL_INDV:CS202211210_14	MouseBrain 00014 - CS202211210_14	14 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_14		14 IT EP-CLA Glut		MouseBrain 00014			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110014			
PCL_INDV:CS202211210_15	MouseBrain 00015 - CS202211210_15	15 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_15		15 IT EP-CLA Glut		MouseBrain 00015			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110015			
PCL_INDV:CS202211210_16	MouseBrain 00016 - CS202211210_16	16 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_16		16 IT EP-CLA Glut		MouseBrain 00016			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110016			
PCL_INDV:CS202211210_17	MouseBrain 00017 - CS202211210_17	17 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_17		17 IT EP-CLA Glut		MouseBrain 00017			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110017			
PCL_INDV:CS202211210_18	MouseBrain 00018 - CS202211210_18	18 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_18		18 IT EP-CLA Glut		MouseBrain 00018			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110018			
PCL_INDV:CS202211210_19	MouseBrain 00019 - CS202211210_19	19 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_19		19 IT EP-CLA Glut		MouseBrain 00019			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110019			
PCL_INDV:CS202211210_20	MouseBrain 00020 - CS202211210_20	20 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_20		20 IT EP-CLA Glut		MouseBrain 00020			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110020			
PCL_INDV:CS202211210_21	MouseBrain 00021 - CS202211210_21	21 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_21		21 IT EP-CLA Glut		MouseBrain 00021			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110021			
PCL_INDV:CS202211210_22	MouseBrain 00022 - CS202211210_22	22 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_22		22 IT EP-CLA Glut		MouseBrain 00022			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110022			
PCL_INDV:CS202211210_23	MouseBrain 00023 - CS202211210_23	23 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_23		23 L5/6 IT TPE-ENT Glut		MouseBrain 00023			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110023			
PCL_INDV:CS202211210_24	MouseBrain 00024 - CS202211210_24	24 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_24		24 L5/6 IT TPE-ENT Glut		MouseBrain 00024			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110024			
PCL_INDV:CS202211210_25	MouseBrain 00025 - CS202211210_25	25 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_25		25 L5/6 IT TPE-ENT Glut		MouseBrain 00025			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110025			
PCL_INDV:CS202211210_26	MouseBrain 00026 - CS202211210_26	26 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_26		26 L5/6 IT TPE-ENT Glut		MouseBrain 00026			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110026			
PCL_INDV:CS202211210_27	MouseBrain 00027 - CS202211210_27	27 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_27		27 L5/6 IT TPE-ENT Glut		MouseBrain 00027			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110027			
PCL_INDV:CS202211210_28	MouseBrain 00028 - CS202211210_28	28 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_28		28 L5/6 IT TPE-ENT Glut		MouseBrain 00028			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110028			
PCL_INDV:CS202211210_29	MouseBrain 00029 - CS202211210_29	29 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_29		29 L5/6 IT TPE-ENT Glut		MouseBrain 00029			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110029			
PCL_INDV:CS202211210_30	MouseBrain 00030 - CS202211210_30	30 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_30		30 L5/6 IT TPE-ENT Glut		MouseBrain 00030			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110030			
PCL_INDV:CS202211210_31	MouseBrain 00031 - CS202211210_31	31 L5/6 IT TPE-ENT Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5207		CS202211210_31		31 L5/6 IT TPE-ENT Glut		MouseBrain 00031			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110031			
PCL_INDV:CS202211210_32	MouseBrain 00032 - CS202211210_32	32 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_32		32 L6 IT CTX Glut		MouseBrain 00032			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110032			
PCL_INDV:CS202211210_33	MouseBrain 00033 - CS202211210_33	33 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_33		33 L6 IT CTX Glut		MouseBrain 00033			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110033			
PCL_INDV:CS202211210_34	MouseBrain 00034 - CS202211210_34	34 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_34		34 L6 IT CTX Glut		MouseBrain 00034			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110034			
PCL_INDV:CS202211210_35	MouseBrain 00035 - CS202211210_35	35 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_35		35 L6 IT CTX Glut		MouseBrain 00035			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110035			
PCL_INDV:CS202211210_36	MouseBrain 00036 - CS202211210_36	36 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_36		36 L6 IT CTX Glut		MouseBrain 00036			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110036			
PCL_INDV:CS202211210_37	MouseBrain 00037 - CS202211210_37	37 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_37		37 L6 IT CTX Glut		MouseBrain 00037			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110037			
PCL_INDV:CS202211210_38	MouseBrain 00038 - CS202211210_38	38 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_38		38 L6 IT CTX Glut		MouseBrain 00038			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110038			
PCL_INDV:CS202211210_39	MouseBrain 00039 - CS202211210_39	39 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_39		39 L6 IT CTX Glut		MouseBrain 00039			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110039			
PCL_INDV:CS202211210_40	MouseBrain 00040 - CS202211210_40	40 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_40		40 L6 IT CTX Glut		MouseBrain 00040			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110040			
PCL_INDV:CS202211210_41	MouseBrain 00041 - CS202211210_41	41 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_41		41 L6 IT CTX Glut		MouseBrain 00041			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110041			
PCL_INDV:CS202211210_42	MouseBrain 00042 - CS202211210_42	42 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_42		42 L6 IT CTX Glut		MouseBrain 00042			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110042			
PCL_INDV:CS202211210_43	MouseBrain 00043 - CS202211210_43	43 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_43		43 L6 IT CTX Glut		MouseBrain 00043			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110043			
PCL_INDV:CS202211210_44	MouseBrain 00044 - CS202211210_44	44 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_44		44 L6 IT CTX Glut		MouseBrain 00044			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110044			
PCL_INDV:CS202211210_45	MouseBrain 00045 - CS202211210_45	45 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_45		45 L6 IT CTX Glut		MouseBrain 00045			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110045			
PCL_INDV:CS202211210_46	MouseBrain 00046 - CS202211210_46	46 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_46		46 L6 IT CTX Glut		MouseBrain 00046			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110046			
PCL_INDV:CS202211210_47	MouseBrain 00047 - CS202211210_47	47 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_47		47 L6 IT CTX Glut		MouseBrain 00047			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110047			
PCL_INDV:CS202211210_48	MouseBrain 00048 - CS202211210_48	48 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_48		48 L6 IT CTX Glut		MouseBrain 00048			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110048			
PCL_INDV:CS202211210_49	MouseBrain 00049 - CS202211210_49	49 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_49		49 L6 IT CTX Glut		MouseBrain 00049			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110049			
PCL_INDV:CS202211210_50	MouseBrain 00050 - CS202211210_50	50 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_50		50 L6 IT CTX Glut		MouseBrain 00050			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110050			
PCL_INDV:CS202211210_51	MouseBrain 00051 - CS202211210_51	51 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_51		51 L6 IT CTX Glut		MouseBrain 00051			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110051			
PCL_INDV:CS202211210_52	MouseBrain 00052 - CS202211210_52	52 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_52		52 L6 IT CTX Glut		MouseBrain 00052			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110052			
PCL_INDV:CS202211210_53	MouseBrain 00053 - CS202211210_53	53 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_53		53 L6 IT CTX Glut		MouseBrain 00053			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110053			
PCL_INDV:CS202211210_54	MouseBrain 00054 - CS202211210_54	54 L6 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5208		CS202211210_54		54 L6 IT CTX Glut		MouseBrain 00054			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110054			
PCL_INDV:CS202211210_55	MouseBrain 00055 - CS202211210_55	55 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_55		55 L5 IT CTX Glut		MouseBrain 00055			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110055			
PCL_INDV:CS202211210_56	MouseBrain 00056 - CS202211210_56	56 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_56		56 L5 IT CTX Glut		MouseBrain 00056			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110056			
PCL_INDV:CS202211210_57	MouseBrain 00057 - CS202211210_57	57 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_57		57 L5 IT CTX Glut		MouseBrain 00057			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110057			
PCL_INDV:CS202211210_58	MouseBrain 00058 - CS202211210_58	58 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_58		58 L5 IT CTX Glut		MouseBrain 00058			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110058			
PCL_INDV:CS202211210_59	MouseBrain 00059 - CS202211210_59	59 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_59		59 L5 IT CTX Glut		MouseBrain 00059			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110059			
PCL_INDV:CS202211210_60	MouseBrain 00060 - CS202211210_60	60 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_60		60 L5 IT CTX Glut		MouseBrain 00060			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110060			
PCL_INDV:CS202211210_61	MouseBrain 00061 - CS202211210_61	61 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_61		61 L5 IT CTX Glut		MouseBrain 00061			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110061			
PCL_INDV:CS202211210_62	MouseBrain 00062 - CS202211210_62	62 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_62		62 L5 IT CTX Glut		MouseBrain 00062			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110062			
PCL_INDV:CS202211210_63	MouseBrain 00063 - CS202211210_63	63 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_63		63 L5 IT CTX Glut		MouseBrain 00063			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110063			
PCL_INDV:CS202211210_64	MouseBrain 00064 - CS202211210_64	64 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_64		64 L5 IT CTX Glut		MouseBrain 00064			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110064			
PCL_INDV:CS202211210_65	MouseBrain 00065 - CS202211210_65	65 L5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5209		CS202211210_65		65 L5 IT CTX Glut		MouseBrain 00065			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110065			
PCL_INDV:CS202211210_66	MouseBrain 00066 - CS202211210_66	66 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_66		66 L4/5 IT CTX Glut		MouseBrain 00066			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110066			
PCL_INDV:CS202211210_67	MouseBrain 00067 - CS202211210_67	67 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_67		67 L4/5 IT CTX Glut		MouseBrain 00067			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110067			
PCL_INDV:CS202211210_68	MouseBrain 00068 - CS202211210_68	68 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_68		68 L4/5 IT CTX Glut		MouseBrain 00068			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110068			
PCL_INDV:CS202211210_69	MouseBrain 00069 - CS202211210_69	69 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_69		69 L4/5 IT CTX Glut		MouseBrain 00069			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110069			
PCL_INDV:CS202211210_70	MouseBrain 00070 - CS202211210_70	70 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_70		70 L4/5 IT CTX Glut		MouseBrain 00070			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110070			
PCL_INDV:CS202211210_71	MouseBrain 00071 - CS202211210_71	71 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_71		71 L4/5 IT CTX Glut		MouseBrain 00071			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110071			
PCL_INDV:CS202211210_72	MouseBrain 00072 - CS202211210_72	72 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_72		72 L4/5 IT CTX Glut		MouseBrain 00072			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110072			
PCL_INDV:CS202211210_73	MouseBrain 00073 - CS202211210_73	73 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_73		73 L4/5 IT CTX Glut		MouseBrain 00073			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110073			
PCL_INDV:CS202211210_74	MouseBrain 00074 - CS202211210_74	74 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_74		74 L4/5 IT CTX Glut		MouseBrain 00074			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110074			
PCL_INDV:CS202211210_75	MouseBrain 00075 - CS202211210_75	75 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_75		75 L4/5 IT CTX Glut		MouseBrain 00075			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110075			
PCL_INDV:CS202211210_76	MouseBrain 00076 - CS202211210_76	76 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_76		76 L4/5 IT CTX Glut		MouseBrain 00076			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110076			
PCL_INDV:CS202211210_77	MouseBrain 00077 - CS202211210_77	77 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_77		77 L4/5 IT CTX Glut		MouseBrain 00077			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110077			
PCL_INDV:CS202211210_78	MouseBrain 00078 - CS202211210_78	78 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_78		78 L4/5 IT CTX Glut		MouseBrain 00078			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110078			
PCL_INDV:CS202211210_79	MouseBrain 00079 - CS202211210_79	79 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_79		79 L4/5 IT CTX Glut		MouseBrain 00079			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110079			
PCL_INDV:CS202211210_80	MouseBrain 00080 - CS202211210_80	80 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_80		80 L4/5 IT CTX Glut		MouseBrain 00080			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110080			
PCL_INDV:CS202211210_81	MouseBrain 00081 - CS202211210_81	81 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_81		81 L4/5 IT CTX Glut		MouseBrain 00081			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110081			
PCL_INDV:CS202211210_82	MouseBrain 00082 - CS202211210_82	82 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_82		82 L4/5 IT CTX Glut		MouseBrain 00082			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110082			
PCL_INDV:CS202211210_83	MouseBrain 00083 - CS202211210_83	83 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_83		83 L4/5 IT CTX Glut		MouseBrain 00083			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110083			
PCL_INDV:CS202211210_84	MouseBrain 00084 - CS202211210_84	84 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_84		84 L4/5 IT CTX Glut		MouseBrain 00084			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110084			
PCL_INDV:CS202211210_85	MouseBrain 00085 - CS202211210_85	85 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_85		85 L4/5 IT CTX Glut		MouseBrain 00085			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110085			
PCL_INDV:CS202211210_86	MouseBrain 00086 - CS202211210_86	86 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_86		86 L4/5 IT CTX Glut		MouseBrain 00086			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110086			
PCL_INDV:CS202211210_87	MouseBrain 00087 - CS202211210_87	87 L4/5 IT CTX Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5210		CS202211210_87		87 L4/5 IT CTX Glut		MouseBrain 00087			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110087			
