cluster_id	cluster_label	supertype_id	supertype_label	supertype_id_label	subclass_id	subclass_label	subclass_id_label	class_id	class_label	class_id_label	division_id	division_label	division_id_label	neighborhood	nt_type_label	nt_type_combo_label	nt.markers	np.markers	combo.markers	top.markers	tentative_anatomical_annotation	max_dissection_region	cluster_size	size.10xv2	size.10xv3	F	M	sex bias	Dark	Light	gene.counts.10xv2	gene.counts.10xv3	umi.counts.10xv2	umi.counts.10xv3	qc.score.10xv2	qc.score.10xv3	taxonomy_id	cell_set_accession.cluster	cell_set_accession.supertype	cell_set_accession.subclass	cell_set_accession.class	cell_set_accession.division
11	0011 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:10	Cck:9.7	Gm6209,C1ql3,Zfhx4,Chst9	Gm6209,Osr1,Blnk	CLA-EPd an	CTXsp	1526	872	654	0.56	0.44		0.39	0.61	5443.80160550459	7717.39296636086	19041.2041284404	46904.247706422	388.775973436384	392.051477481036	CCN202212150	CS202212150_11	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
12	0012 IT EP-CLA Glut_1	3	IT EP-CLA Glut_1	0003 IT EP-CLA Glut_1	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.9	Cck:10	Gm6209,Fst,Ctsc	Gm6209,Osr1,Rab38	CLA-EPd an	AI	995	838	157	0.52	0.48		0.2	0.8	4839.27446300716	7533.5796178344	15296.6443914081	43815.178343949	374.817466897235	389.791126061229	CCN202212150	CS202212150_12	CS202212150_5203	CS202212150_6125	CS202212150_6348	CS202212150_6375
13	0013 IT EP-CLA Glut_2	4	IT EP-CLA Glut_2	0004 IT EP-CLA Glut_2	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.2	Cck:8.5,Adcyap1:4.2,Penk:3.9	Txk,Sfrp2,Satb2	Txk,Agtr1b,Lipg	EPd	CTXsp	328	271	57	0.62	0.38		0.3	0.7	4381.85239852399	6843.87719298246	13509.2730627306	40928.2280701754	373.733139901592	386.125837764506	CCN202212150	CS202212150_13	CS202212150_5204	CS202212150_6125	CS202212150_6348	CS202212150_6375
14	0014 IT EP-CLA Glut_2	4	IT EP-CLA Glut_2	0004 IT EP-CLA Glut_2	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.5	Cck:9.2	1700023F02Rik,Rab38,Chst9,Vmn2r87	1700023F02Rik,Osr1,4930407I19Rik	EPd-EPv po	ENT	850	714	136	0.56	0.44		0.3	0.7	4782.66106442577	8457.20588235294	14159.5966386555	57523.7426470588	374.681336437111	386.672685658152	CCN202212150	CS202212150_14	CS202212150_5204	CS202212150_6125	CS202212150_6348	CS202212150_6375
15	0015 IT EP-CLA Glut_2	4	IT EP-CLA Glut_2	0004 IT EP-CLA Glut_2	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.5	Cck:9.2	Osr1,Onecut1,Sik1	Osr1,4930407I19Rik,1700023F02Rik	NA	ENT	301	251	50	0.61	0.39		0.27	0.73	4507.94023904382	7884.44	14020.1354581673	58040.7	380.392678329938	387.644128763189	CCN202212150	CS202212150_15	CS202212150_5204	CS202212150_6125	CS202212150_6348	CS202212150_6375
16	0016 IT EP-CLA Glut_2	4	IT EP-CLA Glut_2	0004 IT EP-CLA Glut_2	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.7	Cck:9.2,Adcyap1:5.4	Adgrd1,Npsr1,Lpl,Adcyap1	Adgrd1,Adamts13,Lcp1	EPv	CTXsp	459	299	160	0.57	0.43		0.33	0.67	4892.01337792642	7725.71875	16762.5183946488	53980.9125	389.516511274277	392.462728935389	CCN202212150	CS202212150_16	CS202212150_5204	CS202212150_6125	CS202212150_6348	CS202212150_6375
17	0017 IT EP-CLA Glut_2	4	IT EP-CLA Glut_2	0004 IT EP-CLA Glut_2	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.6	Cck:9.1,Adcyap1:4.4	Osr1,Npsr1,Rcan3,Tpbgl	Osr1,Lcp1,Adamts13	EPv	CTXsp	1523	821	702	0.62	0.38		0.38	0.62	5157.73690621194	8103.24074074074	16633.4202192448	50525.9985754986	383.577395138883	391.504789290901	CCN202212150	CS202212150_17	CS202212150_5204	CS202212150_6125	CS202212150_6348	CS202212150_6375
18	0018 IT EP-CLA Glut_3	5	IT EP-CLA Glut_3	0005 IT EP-CLA Glut_3	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.6,Slc17a6:7.5	Cck:8.9,Adcyap1:6.7	Gm49171,Nnmt,Npsr1,C230014O12Rik	Gm49171,A830029E22Rik,Olfm4	EPv extension?	CTXsp	300	196	104	0.55	0.45		0.39	0.61	5141.71428571429	8513.98076923077	16574.4744897959	56527.0961538462	387.372712900663	402.199906541044	CCN202212150	CS202212150_18	CS202212150_5205	CS202212150_6125	CS202212150_6348	CS202212150_6375
19	0019 IT EP-CLA Glut_3	5	IT EP-CLA Glut_3	0005 IT EP-CLA Glut_3	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.7,Slc17a6:5.8	Cck:9.4,Adcyap1:6.9	Lamc2,Sox6,Npsr1,Pparg	Lamc2,Bace2,Gm49906	EPv extension?	CTXsp	418	240	178	0.65	0.35		0.39	0.61	5395.07083333333	8542.60674157303	17991.825	57493.106741573	391.531452392363	403.050669463018	CCN202212150	CS202212150_19	CS202212150_5205	CS202212150_6125	CS202212150_6348	CS202212150_6375
20	0020 IT EP-CLA Glut_3	5	IT EP-CLA Glut_3	0005 IT EP-CLA Glut_3	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:9.7,Slc17a6:7.4	Cck:9.1,Adcyap1:8.1	A830029E22Rik,Col14a1,Egr2	A830029E22Rik,B430212C06Rik,Dkk2	EPv extension?	CTXsp	95	62	33	0.75	0.25		0.42	0.58	5252.06451612903	8357.84848484848	19665.564516129	68196.0909090909	395.755639575819	400.461557393023	CCN202212150	CS202212150_20	CS202212150_5205	CS202212150_6125	CS202212150_6348	CS202212150_6375
21	0021 IT EP-CLA Glut_4	6	IT EP-CLA Glut_4	0006 IT EP-CLA Glut_4	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:10.6	Cck:9.5	Blnk,Igf1,Medag,Cpne9	Blnk,Cwh43,Llgl2	EPd an	CTXsp	313	170	143	0.66	0.34		0.3	0.7	5811.17058823529	7771.37762237762	22291.2764705882	47973.8461538462	400.634962460383	402.833406006214	CCN202212150	CS202212150_21	CS202212150_5206	CS202212150_6125	CS202212150_6348	CS202212150_6375
22	0022 IT EP-CLA Glut_4	6	IT EP-CLA Glut_4	0006 IT EP-CLA Glut_4	2	IT EP-CLA Glut	002 IT EP-CLA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:17,IT-ET:17	Glut	Glut	Slc17a7:10.5	Cck:9.5	Gm40518,4833415N18Rik,Gm41414	Gm40518,Krt17,Gm11549	part of DP-TTd	OLF	300	239	61	0.59	0.41		0.29	0.71	5498.07531380753	8243.40983606557	21011.6359832636	55838.5737704918	401.935861663068	399.023979986228	CCN202212150	CS202212150_22	CS202212150_5206	CS202212150_6125	CS202212150_6348	CS202212150_6375
23	0023 L5/6 IT TPE-ENT Glut_1	7	L5/6 IT TPE-ENT Glut_1	0007 L5/6 IT TPE-ENT Glut_1	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:10.6	Cck:9.4	Gm39822,Trdn,Gm13601,Ndst4	Gm39822,Susd5,Gm36251	TPE-AI-PFC, BMA	TEa-PERI-ECT	824	718	106	0.43	0.57		0.27	0.73	5695.72701949861	8395.84905660377	21298.1810584958	61578.9622641509	399.483921111002	420.316373003107	CCN202212150	CS202212150_23	CS202212150_5207	CS202212150_6126	CS202212150_6348	CS202212150_6375
24	0024 L5/6 IT TPE-ENT Glut_1	7	L5/6 IT TPE-ENT Glut_1	0007 L5/6 IT TPE-ENT Glut_1	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:10.4	Cck:9	Ighg2c,Dcn,Satb2	Ighg2c,1700023F02Rik,Gm39822	ENTl	ENT	755	704	51	0.53	0.47		0.16	0.84	5135.87357954545	8753.13725490196	16539.0440340909	64431.4117647059	389.8702438372	396.393871633361	CCN202212150	CS202212150_24	CS202212150_5207	CS202212150_6126	CS202212150_6348	CS202212150_6375
25	0025 L5/6 IT TPE-ENT Glut_1	7	L5/6 IT TPE-ENT Glut_1	0007 L5/6 IT TPE-ENT Glut_1	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:9.9	Cck:6.9	Dcn,1700047F07Rik,Gm49906	Dcn,Gm13601,1700047F07Rik	ENTl	ENT	508	437	71	0.51	0.49		0.23	0.77	5235.34553775744	8527.85915492958	17353.5194508009	64382.1549295775	399.921288269323	402.883331626261	CCN202212150	CS202212150_25	CS202212150_5207	CS202212150_6126	CS202212150_6348	CS202212150_6375
26	0026 L5/6 IT TPE-ENT Glut_2	8	L5/6 IT TPE-ENT Glut_2	0008 L5/6 IT TPE-ENT Glut_2	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:10.4	Cck:9.7	Gm11639,Il1rapl2,Prss22,Fgf11	Gm11639,Prss22,Vegfd	AI-TPE	TEa-PERI-ECT	3383	2618	765	0.43	0.57		0.42	0.58	5584.82964094729	8683.44575163399	19880.6478227655	65257.2928104575	393.49876456174	404.794688992657	CCN202212150	CS202212150_26	CS202212150_5208	CS202212150_6126	CS202212150_6348	CS202212150_6375
27	0027 L5/6 IT TPE-ENT Glut_2	8	L5/6 IT TPE-ENT Glut_2	0008 L5/6 IT TPE-ENT Glut_2	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:9.9	Cck:9.1,Adcyap1:4.4	A830029E22Rik,Dcn,Tnfaip6,Fibcd1	A830029E22Rik,Dcn,Gm36251	ENTl	ENT	768	605	163	0.52	0.48		0.36	0.64	5044.96694214876	8299.80368098159	17364.8826446281	67870.0981595092	393.459158272505	402.4786089415	CCN202212150	CS202212150_27	CS202212150_5208	CS202212150_6126	CS202212150_6348	CS202212150_6375
28	0028 L5/6 IT TPE-ENT Glut_2	8	L5/6 IT TPE-ENT Glut_2	0008 L5/6 IT TPE-ENT Glut_2	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:10.2	Cck:9.7,Adcyap1:5.4	Lipg,Tnfaip6,Adamts8,Bmpr1b	Lipg,Gm36251,Ptgs2	TPE po	TEa-PERI-ECT	551	478	73	0.51	0.49		0.25	0.75	5277.94142259414	8057.20547945205	19905.1882845188	65273.5753424658	396.901162624377	404.003689303856	CCN202212150	CS202212150_28	CS202212150_5208	CS202212150_6126	CS202212150_6348	CS202212150_6375
29	0029 L5/6 IT TPE-ENT Glut_3	9	L5/6 IT TPE-ENT Glut_3	0009 L5/6 IT TPE-ENT Glut_3	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:9.8	Cck:9.7,Npy:4.1,Adcyap1:3.4	1700023F02Rik,Satb2,Gm6209,Gm32647	1700023F02Rik,4930407I19Rik,Vegfd	AI-TPE	TEa-PERI-ECT	2912	2520	392	0.49	0.51		0.27	0.73	4867.36984126984	7862.07908163265	14761.3337301587	45284.0969387755	377.050830941545	395.067600511093	CCN202212150	CS202212150_29	CS202212150_29	CS202212150_6126	CS202212150_6348	CS202212150_6375
30	0030 L5/6 IT TPE-ENT Glut_4	10	L5/6 IT TPE-ENT Glut_4	0010 L5/6 IT TPE-ENT Glut_4	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:10	Cck:9.3	Dcn,Prss22,Fibcd1,Kirrel3	Dcn,Vegfd,Gm36251	ENTl-ENTm po	ENT	1798	1568	230	0.45	0.55		0.25	0.75	5059.88966836735	8909.84347826087	15853.575255102	68738.5217391304	382.337763987639	395.394033386433	CCN202212150	CS202212150_30	CS202212150_30	CS202212150_6126	CS202212150_6348	CS202212150_6375
31	0031 L5/6 IT TPE-ENT Glut_5	11	L5/6 IT TPE-ENT Glut_5	0011 L5/6 IT TPE-ENT Glut_5	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:9.7	Cck:9.1,Grp:3.8	Susd5,Gm31698,Tnxb,Met	Susd5,Gm39822,Met	RSPagl-VISpl	TEa-PERI-ECT	221	173	48	0.38	0.62		0.44	0.56	5582.87861271676	8514.04166666667	19603.4971098266	60224.1458333333	383.381726687103	391.872439405719	CCN202212150	CS202212150_31	CS202212150_31	CS202212150_6126	CS202212150_6348	CS202212150_6375
32	0032 L5/6 IT TPE-ENT Glut_6	12	L5/6 IT TPE-ENT Glut_6	0012 L5/6 IT TPE-ENT Glut_6	3	L5/6 IT TPE-ENT Glut	003 L5/6 IT TPE-ENT Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:9,IT-ET:9	Glut	Glut	Slc17a7:9.2	Cck:9.2	Osr1,9630002D21Rik,Tshz2	Osr1,Itprid1,Cxcr4	NA	RHP	192	172	20	0.58	0.42		0.15	0.85	3551.23255813953	7543.5	8275.26162790698	42271.9	356.990282526108	373.608421737997	CCN202212150	CS202212150_32	CS202212150_32	CS202212150_6126	CS202212150_6348	CS202212150_6375
33	0033 L6 IT CTX Glut_1	13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	Glut	Slc17a7:9.9	Cck:10	4933406J09Rik,Cntnap3,Dpp10,Osr1	4933406J09Rik,Osr1,Itprid1	NA	ACA	1120	953	167	0.57	0.43		0.35	0.65	4797.2759706191	7960.34131736527	14622.9433368311	49433.0598802395	377.183292956074	398.222692672449	CCN202212150	CS202212150_33	CS202212150_5209	CS202212150_6127	CS202212150_6348	CS202212150_6375
34	0034 L6 IT CTX Glut_1	13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	Glut	Slc17a7:9.6	Cck:9.6,Npy:6.2	Blnk,Alkal1,Ccdc3,Gm10605	Blnk,Gm6209,Ccdc3	PL-ACA-RSP	PL-ILA-ORB	4209	3237	972	0.48	0.52		0.36	0.64	4712.09144269385	7483.00411522634	13991.03120173	40817.8868312757	361.660988993651	385.276464787415	CCN202212150	CS202212150_34	CS202212150_5209	CS202212150_6127	CS202212150_6348	CS202212150_6375
35	0035 L6 IT CTX Glut_1	13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	Glut	Slc17a7:9.8	Cck:9.7	Osr1,Rxfp1,Gm13974,Cpne7	Osr1,Gm6209,Dmrt2	ACA	ACA	1051	817	234	0.44	0.56		0.42	0.58	4583.47123623011	7756.73076923077	13395.2068543452	45991.0256410256	363.830162396535	388.315621223166	CCN202212150	CS202212150_35	CS202212150_5209	CS202212150_6127	CS202212150_6348	CS202212150_6375
36	0036 L6 IT CTX Glut_1	13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	Glut	Slc17a7:9.7	Cck:9.4,Npy:7	Gm6209,Npy,Llgl2,Ccdc3	Gm6209,Blnk,Osr1	CLA-AI? PL	PL-ILA-ORB	2935	2485	450	0.46	0.54		0.25	0.75	4863.4185110664	7884.04	15037.6209255533	47013.4088888889	378.374751286791	397.966430146256	CCN202212150	CS202212150_36	CS202212150_5209	CS202212150_6127	CS202212150_6348	CS202212150_6375
37	0037 L6 IT CTX Glut_1	13	L6 IT CTX Glut_1	0013 L6 IT CTX Glut_1	4	L6 IT CTX Glut	004 L6 IT CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:23,IT-ET:23	Glut	Glut	Slc17a7:9.8	Cck:10	Osr1,Il1rapl2,Met,Arhgap25	Osr1,Satb2,1700023F02Rik	NA	VIS	9585	7786	1799	0.41	0.59		0.34	0.66	4566.71551502697	7627.43357420789	13264.6673516568	44713.5013896609	372.236197801422	379.358337302875	CCN202212150	CS202212150_37	CS202212150_5209	CS202212150_6127	CS202212150_6348	CS202212150_6375
